"","gene","gen4","gen2","gen4.higher"
"1","gene-LOC108805294",141.611351966743,128.080968317114,TRUE
"2","gene-LOC108805611",246.552762967727,398.536632308177,FALSE
"3","gene-LOC108805960",12.2235994553744,13.4573110185036,FALSE
"4","gene-LOC108806144",2.53950281217811,94.8276318449791,FALSE
"5","gene-LOC108806217",75.3223552708825,39.7698675301406,TRUE
"6","gene-LOC108806258",8995.3551173853,5910.30343623597,TRUE
"7","gene-LOC108806447",6.55041283010753,2.64372376029141,TRUE
"8","gene-LOC108806948",425.20980604387,807.253359331166,FALSE
"9","gene-LOC108807298",27.1284926739682,13.2410992680797,TRUE
"10","gene-LOC108808175",2.68190557150279,3.94927970781914,FALSE
"11","gene-LOC108808200",240.039917510094,234.911204970623,TRUE
"12","gene-LOC108808637",6.25595510365237,30.2553140562904,FALSE
"13","gene-LOC108811351",101.617504231008,47.9725634190821,TRUE
"14","gene-LOC108812604",68.0598443083683,121.136456429069,FALSE
"15","gene-LOC108813458",100.719913645341,78.7314101772031,TRUE
"16","gene-LOC108813519",145.480205385145,17.2000522541796,TRUE
"17","gene-LOC108813882",3.02933754609032,21.0344445291611,FALSE
"18","gene-LOC108814367",20.7689902285724,8.79534163215646,TRUE
"19","gene-LOC108814529",27.2138636443267,30.2311180602839,FALSE
"20","gene-LOC108814581",15.0140871313205,22.4885709106167,FALSE
"21","gene-LOC108814614",19.9980328611394,9.32690876395314,TRUE
"22","gene-LOC108814701",97.5302274760615,401.614868136832,FALSE
"23","gene-LOC108815959",0.230324353989223,18.3329723618752,FALSE
"24","gene-LOC108817189",29.0565509410219,18.3925476067118,TRUE
"25","gene-LOC108817278",273.230233316572,90.504529202781,TRUE
"26","gene-LOC108817339",4.30032774954427,12.2476197845976,FALSE
"27","gene-LOC108817943",2.2294107077861,21.7269174857908,FALSE
"28","gene-LOC108818139",146.032981126747,464.582727177431,FALSE
"29","gene-LOC108818358",12.7571724482295,13.2130874081773,FALSE
"30","gene-LOC108818519",46.0291480196233,51.2047923228307,FALSE
"31","gene-LOC108818730",85.5268786181221,117.519611537764,FALSE
"32","gene-LOC108820042",63.1661062010829,5.95680030137169,TRUE
"33","gene-LOC108821237",72.7316749424295,76.2009576804371,FALSE
"34","gene-LOC108821895",55.3806635514793,209.193023874056,FALSE
"35","gene-LOC108822019",43.9843976511557,22.0350744796632,TRUE
"36","gene-LOC108822178",1.43763573835815,21.1800842423279,FALSE
"37","gene-LOC108822183",1280.42645254038,721.226166232364,TRUE
"38","gene-LOC108822574",38.5088571248603,5.2676660218244,TRUE
"39","gene-LOC108822630",29.0926252222682,6.38574901076074,TRUE
"40","gene-LOC108822990",51.1086313254973,8.35917113927697,TRUE
"41","gene-LOC108823402",44.9900238125616,567.836398358007,FALSE
"42","gene-LOC108824132",0.454992582646859,5.60950957692596,FALSE
"43","gene-LOC108824272",87.8493741125216,49.5318588964357,TRUE
"44","gene-LOC108825524",16.0111954116338,40.4002979130996,FALSE
"45","gene-LOC108825567",10.1567383259183,12.6719381327639,FALSE
"46","gene-LOC108825609",54.3001110468419,44.6268187933873,TRUE
"47","gene-LOC108825929",21772.6239774747,5410.9180006431,TRUE
"48","gene-LOC108826896",12.2630612248122,6.98024556463728,TRUE
"49","gene-LOC108827276",27.7227661135396,170.280622283078,FALSE
"50","gene-LOC108827547",11.320405137533,295.30614658923,FALSE
"51","gene-LOC108827710",65.6858466271825,5.00839090480953,TRUE
"52","gene-LOC108827923",25.6597510168196,46.2961455115899,FALSE
