"GO.ID","Ontology","Term","result"
"GO:0006354","BP","DNA-templated transcription, elongation","4.1e-05"
"GO:0045944","BP","positive regulation of transcription by RNA polymerase II","0.0016"
"GO:0006357","BP","regulation of transcription by RNA polymerase II","0.0043"
"GO:0006355","BP","regulation of transcription, DNA-templated","0.008"
"GO:0006306","BP","DNA methylation","0.0085"
"GO:0048829","BP","root cap development","0.022"
"GO:0080188","BP","gene silencing by RNA-directed DNA methylation","0.022"
"GO:0042435","BP","indole-containing compound biosynthetic process","0.033"
"GO:0000904","BP","cell morphogenesis involved in differentiation","0.033"
"GO:0051179","BP","localization","0.042"
"GO:0005654","CC","nucleoplasm","0.0069"
"GO:0005622","CC","intracellular anatomical structure","0.022"
"GO:0005506","MF","iron ion binding","0.0032"
"GO:0016705","MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","0.037"
"GO:0004402","MF","histone acetyltransferase activity","0.042"
